scenario,attachment_size_kb,repeat,fact_to_remember,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,memory_drift_score
growing,20,1,scope includes incident notifications,19,fb146892-cbc4-4dbe-87d6-61538cc6f474,60,0,13,0,0,2119,220,0.00020993,0,none,stress_fake,True,True,False,0.0
growing,20,1,project name: Nimbus Portal,20,fb146892-cbc4-4dbe-87d6-61538cc6f474,107,0,13,0,0,2129,220,0.00021063,0,none,stress_fake,True,True,False,0.0
growing,20,2,project name: Nimbus Portal,1,7907944d-c6f5-4f89-b28d-1fe99fc077fa,8200,19290,3,0,0,2051,220,0.00020517,41,none,stress_fake,True,True,False,0.0
growing,20,2,scope includes multi tenant workspaces,2,7907944d-c6f5-4f89-b28d-1fe99fc077fa,83,0,5,0,0,418,220,9.086e-05,0,none,stress_fake,True,True,False,0.0
growing,20,2,scope includes audit log,3,7907944d-c6f5-4f89-b28d-1fe99fc077fa,72,0,7,0,0,774,220,0.00011578,0,none,stress_fake,True,True,False,0.0
growing,20,2,scope includes CSV export,4,7907944d-c6f5-4f89-b28d-1fe99fc077fa,57,0,9,0,0,1124,220,0.00014028,0,none,stress_fake,True,True,False,0.0
growing,20,2,scope includes reporting dashboard,5,7907944d-c6f5-4f89-b28d-1fe99fc077fa,75,0,11,0,0,1475,220,0.00016485,0,none,stress_fake,True,True,False,0.0
growing,20,2,scope includes role permissions,6,7907944d-c6f5-4f89-b28d-1fe99fc077fa,76,0,13,0,0,1831,220,0.00018977,0,none,stress_fake,True,True,False,0.0
growing,20,2,scope includes Slack alerts,7,7907944d-c6f5-4f89-b28d-1fe99fc077fa,79,0,13,0,0,2187,220,0.00021469,0,none,stress_fake,True,True,False,0.0
growing,20,2,scope includes Stripe billing,8,7907944d-c6f5-4f89-b28d-1fe99fc077fa,73,0,13,0,0,2146,220,0.00021182,0,none,stress_fake,True,True,False,0.0
